id,lat,lon
393740289,8.6143872,-13.2041008
3149135881,8.9096721,-12.058702
3149135882,8.9114801,-12.0577794
393740299,8.6095272,-13.2056315
3028549644,8.3451535,-12.9724007
3149135885,8.912077,-12.0585829
393740300,8.6094448,-13.2057509
3149135889,8.9127883,-12.0599879
3149135892,8.9109683,-12.0584751
393740313,8.6134615,-13.2016003
393740314,8.6129794,-13.2001002
3149135899,8.9115731,-12.0562044
3149135900,8.8919764,-12.0567874
393740315,8.6150533,-13.2011058
393740318,8.6134328,-13.2015157
3149135905,8.8949208,-12.0485453
3149135906,8.8943922,-12.0487533
3187933218,8.5395948,-11.2438629
3187933219,8.5396818,-11.2438683
2955149346,8.3831615,-10.3055231
393740321,8.6150288,-13.2010272
3187933224,8.5400185,-11.2441127
2995519529,8.6968395,-11.3482319
2995519534,8.6970037,-11.3456969
3187933230,8.5400415,-11.2438216
3187933231,8.5447929,-11.241315
3131047985,8.4656727,-13.187353
2998665268,7.9803187,-11.2984084
3149135926,8.8908062,-12.0809101
3187933239,8.5450381,-11.2417317
3187933240,8.5447014,-11.2415085
3127640119,8.5735512,-12.5888396
3127640120,8.5735674,-12.5834882
3187933243,8.5448943,-11.2418109
393740345,8.4931065,-13.275477
3149135937,8.8920571,-12.0776665
3149135938,8.8911446,-12.0734062
3187933251,8.5449241,-11.2422433
5765857348,7.5749253,-11.1581445
2995519556,8.6975326,-11.346901
3187933252,8.5453055,-11.2429662
3187933256,8.5455987,-11.2427504
3187933257,8.5453767,-11.2427716
3149135944,8.8910175,-12.0746671
3187933259,8.5454852,-11.2428737
3187933260,8.5453658,-11.2428013
2746220624,8.4699917,-10.3822254
3138912336,8.6304158,-13.1890675
3149135954,8.8977978,-12.0875587
2995519574,8.69813,-11.3414159
3138912346,8.652568,-13.2248542
3138912347,8.6514272,-13.2275645
3149135965,8.8962443,-12.0857464
3138912354,8.649015,-13.2266791
3436707945,9.1047639,-12.7946409
3436707946,9.1164065,-12.8040974
